City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
328,Sur,OM,22.5667,59.5289,77.38,57,0,1.72,clear sky
329,Gamba,GA,-2.65,10.0,77.09,79,100,6.26,overcast clouds
330,Sola,VU,-13.8833,167.55,86.67,70,75,2.3,broken clouds
331,Kaduy,RU,59.2,37.15,28.36,97,99,3.11,light snow
332,Tablas,PH,6.6292,122.1747,85.12,75,100,2.44,overcast clouds
333,Beyneu,KZ,45.3167,55.2,29.23,62,1,9.48,clear sky
334,Prince Rupert,CA,54.3161,-130.3201,44.29,83,0,5.75,clear sky
335,Raudeberg,NO,61.9875,5.1352,50.67,65,100,9.73,overcast clouds
336,Sakakah,SA,29.9697,40.2064,63.97,78,6,5.59,heavy intensity rain
337,Aykhal,RU,66.0,111.5,-19.91,100,100,5.59,overcast clouds
338,Severo-Kurilsk,RU,50.6789,156.125,36.5,65,74,19.53,broken clouds
339,Suez,EG,29.9737,32.5263,62.2,67,0,8.16,clear sky
340,Labuhan,ID,-6.8844,112.2051,81.12,78,100,7.18,light rain
341,Liverpool,GB,53.4106,-2.9779,46.15,93,100,9.22,overcast clouds
342,Atar,MR,20.5169,-13.0499,79.18,26,6,13.51,clear sky
343,Ust-Nera,RU,64.5667,143.2,-6.52,97,100,6.35,overcast clouds
344,Hastings,GB,50.8552,0.5729,54.91,82,51,21.41,broken clouds
345,Mitsamiouli,KM,-11.3847,43.2844,78.57,78,100,8.43,overcast clouds
346,Klaksvik,FO,62.2266,-6.589,49.12,90,100,45.99,light rain
347,Mongu,ZM,-15.2484,23.1274,69.24,80,100,6.62,overcast clouds
348,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
