City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
308,Aden,YE,78.28,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
311,Mangai,CD,67.98,light rain,-4.05,19.5333,
312,Esperance,AU,66.78,clear sky,-33.8667,121.9,Hospitality Esperance
313,Faya,SA,55.51,clear sky,18.3851,42.4509,شيلة نسايم
315,Sabha,LY,60.82,overcast clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
316,Ocos,GT,78.98,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
319,Itarema,BR,78.13,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
320,Kruisfontein,ZA,58.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
321,Mirador,BR,75.7,clear sky,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
323,Villanueva De La Serena,ES,59.13,overcast clouds,38.9766,-5.7974,Hotel Veracruz
326,Bani,DO,76.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
327,Santa Isabel,BR,67.71,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
328,Sur,OM,77.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
329,Gamba,GA,77.09,overcast clouds,-2.65,10.0,
335,Raudeberg,NO,50.67,overcast clouds,61.9875,5.1352,Nordre Silda.
336,Sakakah,SA,63.97,heavy intensity rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
339,Suez,EG,62.2,clear sky,29.9737,32.5263,Green House
342,Atar,MR,79.18,clear sky,20.5169,-13.0499,Oumou Elghoura
344,Hastings,GB,54.91,broken clouds,50.8552,0.5729,Zanzibar Hotel
345,Mitsamiouli,KM,78.57,overcast clouds,-11.3847,43.2844,Foyer ADM
347,Mongu,ZM,69.24,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
349,Sawtell,AU,71.62,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
350,Iralaya,HN,79.83,overcast clouds,15.0,-83.2333,Iglesia morava renovada
351,Tahoua,NE,71.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
354,Kalabo,ZM,69.04,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
355,Metapan,SV,79.18,scattered clouds,14.3333,-89.45,Hotel San José
357,Nyaunglebin,MM,73.24,overcast clouds,17.95,96.7333,Thi ha
358,Yakuplu,TR,52.95,broken clouds,40.9889,28.6758,Grand Plaza Hotel
360,Jambi,ID,79.18,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
362,Katsuura,JP,58.73,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
364,Makakilo City,US,79.45,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
365,Bara,NG,70.66,broken clouds,10.3744,10.7288,
366,Marzuq,YE,62.06,clear sky,14.4,46.4667,حيد القفلة
367,Boueni,YT,73.38,broken clouds,-12.9025,45.0761,The feet in water
369,Bentiu,SS,73.71,few clouds,9.2333,29.8333,Mandela hôtel
371,Grand Gaube,MU,68.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
372,Saint-Georges,GD,78.6,moderate rain,12.0564,-61.7485,Radisson Grenada Beach Resort
374,Nabire,ID,79.83,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
380,Charcas,MX,55.09,few clouds,23.1333,-101.1167,Hotel El Malacate
381,Tottori,JP,55.47,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
382,Tenosique,MX,75.76,light rain,17.4833,-91.4333,Hotel Central
386,Lichinga,MZ,62.69,broken clouds,-13.3128,35.2406,Residencial Bendiak
387,Rawson,AR,73.27,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
389,Pokhara,NP,56.88,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
391,Jacareacanga,BR,72.97,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
393,Neder Vindinge,DK,50.04,overcast clouds,55.0321,11.8836,Hotel Kong Valdemar
394,Hauterive,FR,52.56,few clouds,46.0901,3.4459,Aletti Palace Hotel
395,Ruteng,ID,73.56,overcast clouds,-8.6136,120.4721,Hotel FX 72
396,Medea,DZ,54.14,scattered clouds,36.2642,2.7539,Hôtel M'Sallah
397,Vila Velha,BR,76.95,mist,-20.3297,-40.2925,Hotel Vitória Palace
402,Upington,ZA,64.08,clear sky,-28.4478,21.2561,River Place Manor
403,Paramirim,BR,74.19,overcast clouds,-13.4425,-42.2389,Pousada Rio Pequeno
404,Ramganj Mandi,IN,65.48,clear sky,24.65,75.9333,Kota Stone Mandana
406,Cabo San Lucas,MX,77.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
407,Rantepao,ID,74.61,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
410,Zaraza,VE,74.5,overcast clouds,9.3503,-65.3245,Hotel Zaraza
416,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
419,Taoudenni,ML,77.11,overcast clouds,22.6783,-3.9836,
420,Chazuta,PE,75.36,overcast clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
421,Pitimbu,BR,77.7,clear sky,-7.4706,-34.8086,Reserva do Abiaí
422,Havelock,US,69.75,broken clouds,34.8791,-76.9013,Sherwood Motel
423,Yendi,GH,73.0,clear sky,9.4427,-0.0099,Eyarro Lodge
424,Hoquiam,US,51.94,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
427,Mahajanga,MG,73.42,thunderstorm,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
431,Harwich,GB,52.25,scattered clouds,51.9419,1.2844,Premier Inn Harwich hotel
432,Bayonet Point,US,75.36,overcast clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
433,Coquimbo,CL,60.19,overcast clouds,-29.9533,-71.3436,Hotel San Juan
434,Kawalu,ID,76.8,overcast clouds,-7.3817,108.2082,West Jontor
435,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,Kirari Guest House
442,Cidreira,BR,66.61,clear sky,-30.1811,-50.2056,Hotel Castelo
445,Kochi,IN,77.02,scattered clouds,9.9399,76.2602,Trident Hotel Cochin
