City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Kodiak,US,2022-11-15 17:57:31,57.79,-152.4072,40.51,75,40,5.75
130,Vila Franca Do Campo,PT,2022-11-15 17:57:31,37.7167,-25.4333,66.2,86,53,10.31
131,Longyearbyen,SJ,2022-11-15 17:57:32,78.2186,15.6401,30.04,93,75,5.75
132,Sobolevo,RU,2022-11-15 17:58:32,54.4299,31.8996,34.65,96,100,5.59
133,Sur,OM,2022-11-15 17:58:33,22.5667,59.5289,79.32,65,0,6.98
134,San Rafael,AR,2022-11-15 17:58:33,-34.6177,-68.3301,87.4,19,52,18.07
135,Isangel,VU,2022-11-15 17:58:34,-19.55,169.2667,72.93,76,0,2.39
136,Ierapetra,GR,2022-11-15 17:58:34,35.01,25.7353,63.14,61,13,4.0
137,Bullhead City,US,2022-11-15 17:58:35,35.1478,-114.5683,60.71,34,60,17.0
138,Half Moon Bay,US,2022-11-15 17:58:35,37.4636,-122.4286,59.43,53,0,8.05
139,Alofi,NU,2022-11-15 17:58:36,-19.0595,-169.9187,75.09,100,98,4.61
140,Sinnamary,GF,2022-11-15 17:58:37,5.3833,-52.95,85.6,63,20,12.82
141,Saint-Philippe,RE,2022-11-15 17:58:37,-21.3585,55.7679,71.19,65,38,11.72
142,Urucara,BR,2022-11-15 17:58:38,-2.5364,-57.76,99.3,32,95,2.95
143,Kosonsoy,UZ,2022-11-15 17:58:38,41.2561,71.5508,41.56,50,100,4.68
144,Rio Grande,BR,2022-11-15 17:58:38,-32.035,-52.0986,84.31,44,0,19.1
145,Saint-Francois,FR,2022-11-15 17:55:11,46.4154,3.9054,54.84,94,100,3.44
146,Trincomalee,LK,2022-11-15 17:58:39,8.5711,81.2335,80.64,75,96,7.45
147,Tuktoyaktuk,CA,2022-11-15 17:58:40,69.4541,-133.0374,-2.2,84,40,3.44
148,Ampanihy,MG,2022-11-15 17:58:40,-24.7,44.75,74.37,79,100,2.91
149,Atyrau,KZ,2022-11-15 17:58:41,47.1167,51.8833,28.42,69,40,8.95
150,Pevek,RU,2022-11-15 17:58:41,69.7008,170.3133,-10.16,98,96,1.34
151,Leningradskiy,RU,2022-11-15 17:58:42,69.3833,178.4167,1.72,94,100,2.19
152,Bisira,PA,2022-11-15 17:58:42,8.5196,-81.7115,67.08,87,93,2.13
153,Bonthe,SL,2022-11-15 17:58:43,7.5264,-12.505,80.17,78,87,6.04
154,Khatanga,RU,2022-11-15 17:58:43,71.9667,102.5,-8.32,96,100,11.3
155,Asfi,MA,2022-11-15 17:58:44,32.2994,-9.2372,68.41,73,77,8.25
156,Kawalu,ID,2022-11-15 17:58:44,-7.3817,108.2082,72.77,99,100,0.25
157,Sao Geraldo Do Araguaia,BR,2022-11-15 17:58:45,-6.4006,-48.555,85.17,71,44,3.98
158,Pangnirtung,CA,2022-11-15 17:58:46,66.1451,-65.7125,1.69,94,98,2.77
